2025-06-24 15:45:36.051 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:45:41.461 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:45:42.791 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:45:55.824 :: INFO     :: Starting key: 4
2025-06-24 15:45:55.850 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:45:55.876 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:45:55.900 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:46:03.043 :: INFO     :: DS8R::1::OutputLevel=0
2025-06-24 15:46:03.071 :: INFO     :: DS8R::1::Trigger=1
2025-06-24 15:46:06.399 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:46:07.764 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:46:53.330 :: INFO     :: Starting key: 4
2025-06-24 15:46:53.356 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:46:53.380 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:46:53.404 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:47:04.829 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 15:47:04.860 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 15:47:11.791 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:47:13.393 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 15:49:46.670 :: INFO     :: Starting key: 4
2025-06-24 15:49:46.700 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:49:46.725 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:49:46.751 :: INFO     :: DS8R::1::Enable=1
2025-06-24 15:49:46.842 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 15:49:46.867 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 15:49:53.866 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 15:49:55.264 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:00:05.245 :: INFO     :: Starting key: 4
2025-06-24 16:00:05.276 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:00:05.303 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:00:05.331 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:00:05.421 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:00:05.446 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:00:12.704 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:00:14.723 :: INFO     :: Error - Failed connecting to DAQ device
